courseIdToClone,courseIdToUpdate,sessionName,sessionStatus,sessionSku,seatsLimit,assignTo,priceInCents,accessStartDate,accessEndDate,enrollmentStartDate,enrollmentEndDate,meeting.idToUpdate.1,meeting.idToDelete.1,meeting.title.1,meeting.instructor.1,meeting.locationId.1,meeting.attendeeInfo.1,meeting.startDate.1,meeting.endDate.1
,e9ffc51e-881e-5425-910e-a10c82c9e25a,IE - 10 MAY 2021 ILT - F254G,Archived,"1:1023634,2:,3:Ingram Micro/InCa",,,84000,,,2020-10-27T10:41:30Z,2021-04-26T04:00:00Z,42755ac4-2b48-5971-86d9-e5e350ae98d2,,IE - 10 MAY 2021 ILT - F254G,,8b8db1f1-e88a-4d0a-bf85-980f07e17101,"<p class=""hiddensessionfields"">1:No,2:Ingram Micro/InCase Academy,3:https://myincase.com/ICTRAINING/PublicSchedule.aspx,4:,5:,6:EU,7: ILT ,8:TrainingEurope@ingrammicro.com,9:3,10:GMT</p><p class=""visiblesessionfields"">You will receive your class details prior to class.</p>",,
,ea1ac158-2352-479c-adc2-2b4436cd92a6,ZA - 10 MAY 2021 HYBRID - CV853G,Archived,ZA-100521-H-CV853G,12,,161900,,,2021-01-26T00:00:00Z,2021-05-03T23:59:00Z,11a34221-380d-4895-978d-b16768bc0b9a,,ZA - 10 MAY 2021 HYBRID - CV853G,,b2b4eb65-88d0-435f-9357-ed622b6dd4eb,"<p class=""hiddensessionfields""> 1:, 2:Cyber Retaliator Solutions (CRS) , 3:https://cyberretaliatorsolutions.com/2020/12/29/db2-12-for-z-os-introduction-to-system-administration-cv853g-cr/ , 4:, 5:CV853G , 6:MEA , 7:HYBRID , 8:TrainingEMEA@ingrammicro.com, 9:24, 10:UTC +2 , </p><p class=""visiblesessionfields"">You will receive your class details prior to class.</p>""",,
,ea7581f1-73ac-4ac2-bf26-387e14920e60,SC - 10 MAY 2021 HYBRID - P8362G,Archived,SC-100521-H-P8362G,12,,173900,,,2021-01-26T00:00:00Z,2021-05-03T23:59:00Z,98a6e295-9450-43d8-86f0-e619cfc7cb14,,SC - 10 MAY 2021 HYBRID - P8362G,,2e2d2435-beea-40c1-99b3-b7341e7ee1c4,"<p class=""hiddensessionfields""> 1:, 2:Cyber Retaliator Solutions (CRS) , 3:https://cyberretaliatorsolutions.com/2020/12/29/ibm-planning-analytics-design-and-develop-models-in-planning-analytics-workspace-v2-0-x-p8362g-cr/ , 4:, 5:P8362G , 6:MEA , 7:HYBRID , 8:TrainingEMEA@ingrammicro.com, 9:40, 10:UTC +4 , </p><p class=""visiblesessionfields"">You will receive your class details prior to class.</p>""",,
,ea7b38c2-57d6-4c1e-9a84-a5d826e5bda0,SC - 10 MAY 2021 HYBRID - TM674G,Archived,SC-100521-H-TM674G,12,,123900,,,2021-01-26T00:00:00Z,2021-05-03T23:59:00Z,573671fc-aa31-420c-ab71-81d9075d04ec,,SC - 10 MAY 2021 HYBRID - TM674G,,2e2d2435-beea-40c1-99b3-b7341e7ee1c4,"<p class=""hiddensessionfields""> 1:, 2:Cyber Retaliator Solutions (CRS) , 3:https://cyberretaliatorsolutions.com/2020/12/29/ibm-cloud-application-performance-management-8-1-4-fundamentals-tm674g-crilo/ , 4:, 5:TM674G , 6:MEA , 7:HYBRID , 8:TrainingEMEA@ingrammicro.com, 9:24, 10:UTC +4 , </p><p class=""visiblesessionfields"">You will receive your class details prior to class.</p>""",,
,eafb31a3-a9f5-5fb9-af80-73119cfdefb4,SI - 10 MAY 2021 VILT - F175G,Archived,"1:967404,2:,3:",12,,247000,,,2020-10-27T10:41:30Z,2021-04-26T02:00:00Z,e93dccc4-34e3-50d7-bb47-921a8786c9e2,,SI - 10 MAY 2021 VILT - F175G,,cd76512d-f709-42e7-90f0-8f6a29b2b124,"<p class=""hiddensessionfields""> 1:, 2:, 3:, 4:, 5:, 6:EU, 7:VILT, 8:TrainingEMEA@ingrammicro.com, 9:32, 10:CET, </p><p class=""visiblesessionfields"">You will receive your class details prior to class.</p>""",,
,eafd2144-e6c2-43c4-a3ab-1026ba145473,ZA - 10 MAY 2021 HYBRID - SS84G,Archived,ZA-100521-H-SS84G,12,,211900,,,2021-01-26T00:00:00Z,2021-05-03T23:59:00Z,68ae9f24-c0ba-49ef-914f-e02398a13137,,ZA - 10 MAY 2021 HYBRID - SS84G,,b2b4eb65-88d0-435f-9357-ed622b6dd4eb,"<p class=""hiddensessionfields""> 1:, 2:Cyber Retaliator Solutions (CRS), 3:https://cyberretaliatorsolutions.com/2020/12/29/dfsms-implementation-ss84g-cr/, 4:, 5:SS84G, 6:MEA, 7:HYBRID, 8:TrainingEMEA@ingrammicro.com, 9:32, 10:UTC +2, </p><p class=""visiblesessionfields"">You will receive your class details prior to class.</p>""",,
,eb3088c3-744e-5406-9e82-6cc6c5a2ba98,PL - 10 MAY 2021 ILT - WF270G,Archived,"1:1045085,2:,3:",12,,259000,,,2020-10-27T10:41:30Z,2021-04-26T02:00:00Z,ad8cfbcd-d9a7-56a4-9e07-479e368ce717,,PL - 10 MAY 2021 ILT - WF270G,,c79b54ff-eaf9-4778-9ee8-e368cb254bfa,"<p class=""hiddensessionfields""> 1:, 2:, 3:, 4:, 5:, 6:EU, 7:ILT, 8:TrainingEMEA@ingrammicro.com, 9:32, 10:CET, </p><p class=""visiblesessionfields"">You will receive your class details prior to class.</p>""",,
,eb45fe64-7bef-5358-9180-4a7572ecd9ea,LY - 09 MAY 2021 ILT - 0S114G,Archived,"1:878899,2:,3:",12,,159000,,,2020-10-27T10:41:30Z,2021-04-25T00:00:00Z,237f23d3-ee87-562c-8f80-08fd4ef241c5,,LY - 09 MAY 2021 ILT - 0S114G,,9f6cd22a-1e41-4e93-9d0d-a0b551a50a84,"<p class=""hiddensessionfields""> 1:, 2:, 3:, 4:, 5:, 6:EU, 7:ILT, 8:TrainingEMEA@ingrammicro.com, 9:16, 10:EET, </p><p class=""visiblesessionfields"">You will receive your class details prior to class.</p>""",,
,eb5c2637-86cc-4d3e-ac22-a67ab8dff30c,ZA - 10 MAY 2021 HYBRID - ES96G,Archived,ZA-100521-H-ES96G,12,,211900,,,2021-01-26T00:00:00Z,2021-05-03T23:59:00Z,065a556d-563f-46ee-8021-b0f21274af15,,ZA - 10 MAY 2021 HYBRID - ES96G,,b2b4eb65-88d0-435f-9357-ed622b6dd4eb,"<p class=""hiddensessionfields""> 1:, 2:Cyber Retaliator Solutions (CRS) , 3:https://cyberretaliatorsolutions.com/2020/12/29/hardware-configuration-and-definition-hcd-for-z-os-es96g-cr/ , 4:, 5:ES96G , 6:MEA , 7:HYBRID , 8:TrainingEMEA@ingrammicro.com, 9:32, 10:UTC +2 , </p><p class=""visiblesessionfields"">You will receive your class details prior to class.</p>""",,
,ebb42800-1edb-5a7f-9ab6-8f18e8f19ec2,IT - 10 MAY 2021 ILT - ZZ720G,Archived,"1:1002763,2:,3:",12,,283000,,,2020-10-27T10:41:30Z,2021-04-26T02:00:00Z,e473a01e-4b3e-5f7a-be6e-b305518cf36f,,IT - 10 MAY 2021 ILT - ZZ720G,,2deab5f5-f578-44ba-a1b9-258e34d51cef,"<p class=""hiddensessionfields""> 1:, 2:, 3:, 4:, 5:, 6:EU, 7:ILT, 8:TrainingEMEA@ingrammicro.com, 9:24, 10:CET, </p><p class=""visiblesessionfields"">You will receive your class details prior to class.</p>""",,
